Model	df	logLik	AIC	AICw	AICc	AICcw	BIC
JC	93	-4904.81180923044	9995.62361846089	3.77815489648665e-92	10006.5035188965	8.17750767797756e-92	10501.4479765537
JC+I	94	-4874.41105397441	9936.82210794882	2.21750971211725e-79	9947.94290496003	4.25497198783827e-79	10448.085437634
JC+G(4)	94	-4873.63789220716	9935.27578441433	4.80446926793502e-79	9946.39658142553	9.21884672693259e-79	10446.5391140995
JC+G(4)+I	95	-4873.521131838	9937.04226367599	1.98636622384653e-79	9948.4067496573	3.37422554557653e-79	10453.7445649536
F81	96	-4865.67635731685	9923.3527146337	1.86512149086541e-76	9934.96368720228	2.80090275731624e-76	10445.4939875037
F81+I	97	-4835.29304136547	9864.58608273095	1.07576919504234e-63	9876.44634473968	1.42619035365432e-63	10392.1663271933
F81+G(4)	97	-4834.56336625623	9863.12673251245	2.23158265660931e-63	9874.98699452118	2.95849860072747e-63	10390.7069769749
F81+G(4)+I	98	-4834.46007662854	9864.92015325708	9.10283374783571e-64	9877.03251280764	1.06388017483163e-63	10397.9393693119
K80	94	-4760.84339500951	9709.68679001902	4.652358164234e-30	9720.80758703022	8.92697495665338e-30	10220.9501197042
K80+I	95	-4729.69055258575	9649.3811051715	5.79276912959211e-17	9660.74559115281	9.84013387966618e-17	10166.0834064491
K80+G(4)	95	-4728.81852353404	9647.63704706808	1.38549073293858e-16	9659.00153304939	2.35352281372767e-16	10164.3393483457
K80+G(4)+I	96	-4728.65904688589	9649.31809377179	5.97817978491443e-17	9660.92906634037	8.9775922508564e-17	10171.4593666418
TrN	98	-4720.74158311843	9637.48316623687	2.22070480741011e-14	9649.59552578743	2.59541576195285e-14	10170.5023822917
TrN+I	99	-4689.79341421327	9577.58682842654	0.225328087897649	9589.9540988825	0.231834591535564	10116.0450160737
TrN+G(4)	99	-4688.91469272047	9575.82938544094	0.542549324134232	9588.1966558969	0.558215809321071	10114.2875730881
TrN+G(4)+I	100	-4688.76370609328	9577.52741218657	0.232122587968097	9590.15241218657	0.209949599143339	10121.4245714262
